Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Tested,B. burgdorferi (%),A. phagocytophilum (%),B. microti (%),B. miyamotoi (%),County Centroid
2008,Albany,1,314,200,52,57.70%,1.90%,0%,,"(42.5882713, -73.9740136)"
2009,Albany,1,210,361.6,50,38%,4%,4%,,"(42.5882713, -73.9740136)"
2010,Albany,1,215,221.7,50,56%,6%,12%,,"(42.5882713, -73.9740136)"
2011,Albany,1,131,426.7,50,48%,20%,4%,,"(42.5882713, -73.9740136)"
2012,Albany,3,315,85.4,150,57.30%,17.30%,6%,,"(42.5882713, -73.9740136)"
2013,Albany,3,199,73.2,111,58.60%,9%,4.50%,,"(42.5882713, -73.9740136)"
2014,Albany,3,343,107.8,142,47.90%,9.20%,1.40%,,"(42.5882713, -73.9740136)"
2015,Albany,5,263,35.8,121,66.10%,11.60%,7.40%,0%,"(42.5882713, -73.9740136)"
2016,Albany,3,147,49,114,65.80%,20.20%,12.30%,2.60%,"(42.5882713, -73.9740136)"
2017,Albany,3,234,74.2,139,64%,15.10%,11.50%,1.40%,"(42.5882713, -73.9740136)"
2009,Allegany,2,146,10.5,127,33.90%,4.70%,0%,,"(42.2478938, -78.0261758)"
2010,Allegany,2,0,0,0,,,,,"(42.2478938, -78.0261758)"
2011,Allegany,2,12,1,12,33.30%,0%,0%,,"(42.2478938, -78.0261758)"
2012,Allegany,2,53,4.1,53,17%,0%,0%,,"(42.2478938, -78.0261758)"
2013,Allegany,3,54,9.7,54,9.30%,0%,0%,,"(42.2478938, -78.0261758)"
2014,Allegany,4,54,11.2,54,18.50%,0%,0%,,"(42.2478938, -78.0261758)"
2015,Allegany,4,71,7.8,71,26.80%,0%,0%,0%,"(42.2478938, -78.0261758)"
2016,Allegany,3,82,8.7,56,55.40%,1.80%,0%,0%,"(42.2478938, -78.0261758)"
2017,Allegany,2,33,6.7,33,45.50%,0%,0%,0%,"(42.2478938, -78.0261758)"
2009,Broome,1,67,32,67,29.90%,0%,0%,,"(42.1619773, -75.830291)"
2014,Broome,1,44,33.9,44,52.30%,0%,0%,,"(42.1619773, -75.830291)"
2016,Broome,2,58,14.9,50,78%,0%,0%,0%,"(42.1619773, -75.830291)"
2017,Broome,1,0,0,0,,,,,"(42.1619773, -75.830291)"
2008,Cattaraugus,2,112,5.7,112,1.80%,0%,0%,,"(42.2448527, -78.6810055)"
2009,Cattaraugus,2,170,8.8,61,18%,0%,0%,,"(42.2448527, -78.6810055)"
2010,Cattaraugus,2,45,6.8,38,39.50%,2.60%,0%,,"(42.2448527, -78.6810055)"
2011,Cattaraugus,2,155,17.7,155,29%,1.90%,0%,,"(42.2448527, -78.6810055)"
2012,Cattaraugus,2,198,29.8,198,24.70%,0%,0%,,"(42.2448527, -78.6810055)"
2013,Cattaraugus,4,220,28.8,100,38%,0%,0%,,"(42.2448527, -78.6810055)"
2014,Cattaraugus,4,136,22.1,107,27.10%,0.90%,0%,,"(42.2448527, -78.6810055)"
2015,Cattaraugus,8,223,10.7,208,39.90%,2.90%,0%,0%,"(42.2448527, -78.6810055)"
2016,Cattaraugus,7,313,10.7,221,49.30%,1.80%,0.50%,0.50%,"(42.2448527, -78.6810055)"
2017,Cattaraugus,4,307,30.4,162,42.60%,2.50%,0%,0%,"(42.2448527, -78.6810055)"
2009,Cayuga,1,0,0,0,,,,,"(43.0085456, -76.5745866)"
2015,Cayuga,1,0,0,0,,,,,"(43.0085456, -76.5745866)"
2016,Cayuga,2,146,45.9,56,46.40%,1.80%,0%,1.80%,"(43.0085456, -76.5745866)"
2008,Chautauqua,1,1,0.5,1,0%,0%,0%,,"(42.3042159, -79.4075949)"
2009,Chautauqua,3,1,0.1,1,0%,0%,0%,,"(42.3042159, -79.4075949)"
2010,Chautauqua,1,0,0,0,,,,,"(42.3042159, -79.4075949)"
2012,Chautauqua,1,53,6.1,53,20.80%,1.90%,0%,,"(42.3042159, -79.4075949)"
2013,Chautauqua,5,53,10.8,53,28.30%,0%,0%,,"(42.3042159, -79.4075949)"
2014,Chautauqua,6,54,7.4,54,0%,0%,0%,,"(42.3042159, -79.4075949)"
2015,Chautauqua,5,59,9,56,3.60%,0%,0%,0%,"(42.3042159, -79.4075949)"
2016,Chautauqua,4,61,6.6,50,24%,2%,0%,2%,"(42.3042159, -79.4075949)"
2017,Chautauqua,6,128,8.1,101,42.60%,1%,0%,0%,"(42.3042159, -79.4075949)"
2008,Chemung,2,132,25.3,132,15.90%,0%,0%,,"(42.1552807, -76.7471788)"
2009,Chemung,1,70,35.2,70,42.90%,1.40%,0%,,"(42.1552807, -76.7471788)"
2010,Chemung,1,60,93.4,46,32.60%,2.20%,0%,,"(42.1552807, -76.7471788)"
2011,Chemung,1,91,101.1,50,46%,0%,0%,,"(42.1552807, -76.7471788)"
2012,Chemung,1,50,15.9,50,54%,2%,0%,,"(42.1552807, -76.7471788)"
2013,Chemung,1,55,55,55,45.50%,0%,0%,,"(42.1552807, -76.7471788)"
2014,Chemung,1,55,21.5,55,43.60%,0%,0%,,"(42.1552807, -76.7471788)"
2015,Chemung,2,66,20.3,66,42.40%,0%,0%,0%,"(42.1552807, -76.7471788)"
2016,Chemung,1,50,15.8,50,54%,6%,0%,2%,"(42.1552807, -76.7471788)"
2017,Chemung,1,79,79,50,46%,10%,0%,2%,"(42.1552807, -76.7471788)"
2013,Chenango,1,1,1,1,0%,0%,0%,,"(42.489732, -75.6049051)"
2014,Chenango,3,1,0.3,1,0%,0%,0%,,"(42.489732, -75.6049051)"
2015,Chenango,1,0,0,0,,,,,"(42.489732, -75.6049051)"
2016,Chenango,1,51,14.6,51,54.90%,3.90%,0%,0%,"(42.489732, -75.6049051)"
2008,Clinton,1,0,0,0,,,,,"(44.7527103, -73.7056478)"
2012,Clinton,1,29,6.3,29,44.80%,0%,0%,,"(44.7527103, -73.7056478)"
2014,Clinton,4,11,2.1,11,27.30%,0%,0%,,"(44.7527103, -73.7056478)"
2015,Clinton,4,85,8,84,44%,1.20%,0%,0%,"(44.7527103, -73.7056478)"
2016,Clinton,7,140,15,108,49.10%,0.90%,1.90%,0.90%,"(44.7527103, -73.7056478)"
2017,Clinton,4,187,26,102,37.30%,3.90%,1%,0%,"(44.7527103, -73.7056478)"
2008,Columbia,1,313,230,52,30.80%,3.80%,0%,,"(42.2477286, -73.6268046)"
2009,Columbia,1,144,255.7,50,26%,14%,0%,,"(42.2477286, -73.6268046)"
